date,open,high,low,close,Adj Close,volume
2018-08-29,37.70000076293945,39.79999923706055,37.0,38.099998474121094,38.099998474121094,1877608
2018-08-30,37.0,43.0,35.70000076293945,42.54999923706055,42.54999923706055,2604397
2018-08-31,44.0,52.45000076293945,44.0,51.45000076293945,51.45000076293945,4571054
2018-09-03,51.79999923706055,54.29999923706055,48.04999923706055,52.5,52.5,944950
2018-09-04,49.900001525878906,51.5,47.79999923706055,49.79999923706055,49.79999923706055,1682512
2018-09-05,52.150001525878906,56.0,51.20000076293945,54.400001525878906,54.400001525878906,1987442
2018-09-06,57.04999923706055,61.20000076293945,56.5,59.95000076293945,59.95000076293945,4299361
2018-09-07,58.5,62.0,55.70000076293945,58.75,58.75,1365791
2018-09-10,58.75,59.25,55.79999923706055,56.849998474121094,56.849998474121094,929482
2018-09-11,55.29999923706055,56.849998474121094,53.0,56.0,56.0,730364
2018-09-12,56.0,58.0,55.0,57.150001525878906,57.150001525878906,1222828
2018-09-13,59.0,60.400001525878906,54.599998474121094,54.95000076293945,54.95000076293945,987268
2018-09-14,54.599998474121094,56.5,54.0,55.70000076293945,55.70000076293945,936103
2018-09-17,57.0,60.29999923706055,57.0,59.599998474121094,59.599998474121094,1101192
2018-09-18,60.54999923706055,62.0,58.75,59.45000076293945,59.45000076293945,1061491
2018-09-19,60.5,65.0,60.20000076293945,63.400001525878906,63.400001525878906,1200483
2018-09-20,69.0,74.0,65.30000305175781,68.69999694824219,68.69999694824219,2293839
2018-09-21,70.0,71.75,67.0,69.94999694824219,69.94999694824219,2544044
2018-09-24,69.75,69.75,63.0,65.1500015258789,65.1500015258789,1443948
2018-09-25,62.0,71.0,62.0,70.69999694824219,70.69999694824219,1789552
2018-09-26,72.0,72.0,68.1500015258789,70.05000305175781,70.05000305175781,1306434
2018-09-27,71.0,72.5,65.0,66.25,66.25,1419184
2018-09-28,65.0,66.0,63.29999923706055,63.900001525878906,63.900001525878906,1409289
2018-10-01,65.0,66.1500015258789,61.0,63.95000076293945,63.95000076293945,1299154
2018-10-02,64.0999984741211,66.75,63.599998474121094,64.3499984741211,64.3499984741211,1107947
2018-10-03,66.3499984741211,67.0,62.0,62.849998474121094,62.849998474121094,919541
2018-10-04,62.400001525878906,63.0,58.5,58.900001525878906,58.900001525878906,690451
2018-10-05,59.5,60.5,56.0,56.29999923706055,56.29999923706055,741961
2018-10-08,57.0,58.0,55.0,55.349998474121094,55.349998474121094,605639
2018-10-09,54.20000076293945,54.349998474121094,51.099998474121094,53.25,53.25,1330679
2018-10-10,52.5,53.0,50.0,50.150001525878906,50.150001525878906,752665
2018-10-11,51.0,52.0,47.20000076293945,48.70000076293945,48.70000076293945,1200255
2018-10-12,51.599998474121094,55.5,51.099998474121094,54.70000076293945,54.70000076293945,1315300
2018-10-16,55.5,56.5,53.5,53.95000076293945,53.95000076293945,291099
2018-10-17,52.599998474121094,54.0,50.75,51.400001525878906,51.400001525878906,226519
2018-10-18,51.5,52.70000076293945,50.5,51.5,51.5,253055
2018-10-19,52.29999923706055,53.900001525878906,51.20000076293945,51.400001525878906,51.400001525878906,176351
2018-10-22,51.0,53.0,50.650001525878906,51.0,51.0,197161
2018-10-23,51.0,52.25,49.599998474121094,52.099998474121094,52.099998474121094,863018
2018-10-24,53.79999923706055,53.79999923706055,51.0,52.0,52.0,532080
2018-10-25,52.5,58.599998474121094,52.5,58.0,58.0,970656
2018-10-26,57.54999923706055,59.099998474121094,56.04999923706055,58.20000076293945,58.20000076293945,756707
2018-10-29,59.75,60.599998474121094,58.20000076293945,59.25,59.25,622718
2018-10-30,60.5,61.20000076293945,59.5,59.75,59.75,520802
2018-10-31,59.75,59.79999923706055,56.5,58.900001525878906,58.900001525878906,604260
2018-11-01,59.25,64.80000305175781,59.25,64.69999694824219,64.69999694824219,988675
2018-11-02,65.0,66.0,63.0,64.55000305175781,64.55000305175781,817559
2018-11-05,62.099998474121094,64.5,62.099998474121094,62.95000076293945,62.95000076293945,644579
2018-11-07,61.5,63.20000076293945,61.0,62.5,62.5,468606
2018-11-08,63.0,63.25,60.0,60.29999923706055,60.29999923706055,379733
2018-11-09,60.29999923706055,60.79999923706055,58.20000076293945,59.25,59.25,303562
2018-11-12,59.25,59.25,57.5,58.150001525878906,58.150001525878906,253739
2018-11-13,58.400001525878906,60.0,54.0,55.54999923706055,55.54999923706055,443845
2018-11-14,55.54999923706055,59.0,55.54999923706055,58.29999923706055,58.29999923706055,194137
2018-11-15,58.400001525878906,62.75,58.400001525878906,60.75,60.75,478079
2018-11-16,61.25,64.80000305175781,61.0,63.099998474121094,63.099998474121094,1789238
2018-11-20,63.04999923706055,64.94999694824219,62.400001525878906,62.900001525878906,62.900001525878906,1083639
2018-11-21,63.0,66.0,63.0,64.75,64.75,792046
2018-11-22,64.75,65.19999694824219,63.349998474121094,64.69999694824219,64.69999694824219,250764
2018-11-23,64.5,68.5,64.25,66.75,66.75,1574768
2018-11-26,66.8499984741211,69.30000305175781,66.69999694824219,66.9000015258789,66.9000015258789,987130
2018-11-27,66.0,68.3499984741211,64.0999984741211,64.4000015258789,64.4000015258789,496267
2018-11-28,64.94999694824219,66.6500015258789,62.0,65.94999694824219,65.94999694824219,515503
2018-11-29,66.0,66.94999694824219,65.0,66.5,66.5,461499
2018-11-30,66.5,66.5,66.5,66.5,66.5,0
2018-12-03,67.9000015258789,69.0,66.0,66.0999984741211,66.0999984741211,1045524
2018-12-04,66.19999694824219,67.4000015258789,65.19999694824219,67.0,67.0,509481
2018-12-05,66.5999984741211,66.9000015258789,66.05000305175781,66.75,66.75,188162
2018-12-06,65.25,68.5,64.5,68.3499984741211,68.3499984741211,462272
2018-12-07,68.0,69.0,66.4000015258789,66.8499984741211,66.8499984741211,374037
2018-12-10,66.5,67.80000305175781,65.0999984741211,65.5,65.5,353435
2018-12-11,66.0,68.75,65.5,66.9000015258789,66.9000015258789,838562
2018-12-12,66.0999984741211,68.80000305175781,66.0999984741211,66.75,66.75,672149
2018-12-13,67.69999694824219,68.0,65.0,65.3499984741211,65.3499984741211,294362
2018-12-14,65.3499984741211,66.19999694824219,64.3499984741211,65.9000015258789,65.9000015258789,222799
2018-12-17,65.0,65.80000305175781,61.04999923706055,61.70000076293945,61.70000076293945,656996
2018-12-18,61.599998474121094,63.25,60.900001525878906,61.20000076293945,61.20000076293945,160128
2018-12-19,60.54999923706055,62.95000076293945,60.54999923706055,61.79999923706055,61.79999923706055,455861
2018-12-20,61.0,61.099998474121094,58.5,60.20000076293945,60.20000076293945,326484
2018-12-21,60.20000076293945,60.20000076293945,55.099998474121094,56.79999923706055,56.79999923706055,904449
2018-12-26,56.599998474121094,56.900001525878906,52.650001525878906,55.95000076293945,55.95000076293945,785831
2018-12-27,56.099998474121094,61.04999923706055,56.099998474121094,60.45000076293945,60.45000076293945,416022
2018-12-28,59.400001525878906,63.5,59.400001525878906,63.29999923706055,63.29999923706055,280858
2018-12-31,63.29999923706055,63.29999923706055,63.29999923706055,63.29999923706055,63.29999923706055,0
2019-01-02,63.04999923706055,65.5999984741211,63.04999923706055,64.5999984741211,64.5999984741211,366014
2019-01-03,64.5,64.5,62.54999923706055,63.5,63.5,252022
2019-01-04,64.0,67.3499984741211,63.70000076293945,66.30000305175781,66.30000305175781,533908
2019-01-07,66.0,69.19999694824219,65.9000015258789,67.30000305175781,67.30000305175781,1007060
2019-01-08,67.30000305175781,68.80000305175781,64.19999694824219,65.5999984741211,65.5999984741211,423981
2019-01-09,65.80000305175781,70.0,65.80000305175781,68.5999984741211,68.5999984741211,880374
2019-01-10,68.80000305175781,71.4000015258789,68.0,71.3499984741211,71.3499984741211,1027211
2019-01-11,71.3499984741211,71.5999984741211,69.69999694824219,71.30000305175781,71.30000305175781,619420
2019-01-14,71.30000305175781,71.75,70.0999984741211,70.5999984741211,70.5999984741211,199606
2019-01-15,71.5999984741211,71.5999984741211,68.5,69.5999984741211,69.5999984741211,402813
2019-01-16,70.0,71.9000015258789,69.5999984741211,69.8499984741211,69.8499984741211,464044
2019-01-17,69.5,70.19999694824219,68.0,69.8499984741211,69.8499984741211,451153
2019-01-18,70.5,72.19999694824219,69.30000305175781,71.5,71.5,557992
2019-01-21,71.5,73.0,71.0,72.8499984741211,72.8499984741211,118251
2019-01-22,72.0,72.0,67.8499984741211,68.0,68.0,949644
2019-01-23,69.1500015258789,70.8499984741211,68.1500015258789,69.8499984741211,69.8499984741211,448845
